medium	description	compound	name
M9	M9 minimal medium (glucose)	ca2	Ca2+
M9	M9 minimal medium (glucose)	cl	Cl-
M9	M9 minimal medium (glucose)	cobalt2	Co2+
M9	M9 minimal medium (glucose)	cu2	Cu2+
M9	M9 minimal medium (glucose)	fe2	Fe2+
M9	M9 minimal medium (glucose)	fe3	Fe3+
M9	M9 minimal medium (glucose)	glc__D	D-Glucose
M9	M9 minimal medium (glucose)	h2o	H2O
M9	M9 minimal medium (glucose)	h	H+
M9	M9 minimal medium (glucose)	k	K+
M9	M9 minimal medium (glucose)	mg2	Mg
M9	M9 minimal medium (glucose)	mn2	Mn2+
M9	M9 minimal medium (glucose)	mobd	Molybdate
M9	M9 minimal medium (glucose)	na1	Na+
M9	M9 minimal medium (glucose)	nh4	Ammonium
M9	M9 minimal medium (glucose)	ni2	Ni2+
M9	M9 minimal medium (glucose)	o2	O2
M9	M9 minimal medium (glucose)	pi	Phosphate
M9	M9 minimal medium (glucose)	so4	Sulfate
M9	M9 minimal medium (glucose)	zn2	Zn2+
